,ad_creative_bodies,ad_creative_link_descriptions,bylines,ad_creative_link_titles,ad_creative_link_captions,demographic_distribution,page_name,page_id,id,estimated_audience_size.lower_bound,estimated_audience_size.upper_bound,impressions.lower_bound,impressions.upper_bound,spend.lower_bound,spend.upper_bound
356,"['Cerca de 60 Escuelas en Connecticut formaron parte de #Voice4Change, donde los estudiantes compartieron ideas sobre cómo hacer que sus escuelas sean mejores. ¡Los estudiantes se han expresado y las propuestas ganadoras han sido anunciadas! Encuentra tu escuela y lee más sobre estos cambios positivos, visitando: https://bit.ly/3uryMaZ']",,Connecticut State Department of Education,,,"[{'percentage': '0.0005', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000596', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.006694', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.027932', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.025989', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.046918', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.164531', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.234418', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.276989', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.061365', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.115112', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.035723', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.001654', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.0015', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '7.7E-5', 'age': '18-24', 'gender': 'unknown'}]",Connecticut State Department of Education,581303911959961,564048244845853,500001,1000000,175000,199999,1000,1499
357,"['Nearly 60 schools in Connecticut took part in #Voice4Change, where students shared ideas to make their schools even better. Students have spoken and the winning proposals have been announced! Find your school and read more about the positive changes to come by visiting https://bit.ly/3uryMaZ']",,Connecticut State Department of Education,,,"[{'percentage': '0.000346', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001405', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.038882', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.002914', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.017575', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.405731', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.046553', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.030624', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.115576', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.315078', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.00387', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.01222', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.004008', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000392', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.004826', 'age': '55-64', 'gender': 'male'}]",Connecticut State Department of Education,581303911959961,693403935330603,1000001,,200000,249999,1000,1499
358,"[""CT isn't filling thousands of state public health jobs, which hurts the care we provide to Black and brown communities.""]",['Read our demands'],"The New England Health Care Employees Union, District 1199, SEIU",['CT Legislature: Fund Public Health'],['act.seiu.org'],"[{'percentage': '0.00338', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.015775', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.006197', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.027324', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.033239', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.070423', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.086761', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.329859', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.128732', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.213803', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.043944', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.026761', 'age': '65+', 'gender': 'female'}, {'percentage': '0.010423', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001408', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001408', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000563', 'age': '18-24', 'gender': 'unknown'}]",SEIU District 1199 New England,226129494122932,692145225168851,10001,50000,6000,6999,0,99
359,"[""CT isn't filling thousands of state public health jobs, which hurts the care we provide to Black and brown communities.""]",['Read our demands'],"The New England Health Care Employees Union, District 1199, SEIU",['CT Legislature: Fund Public Health'],['act.seiu.org'],"[{'percentage': '0.000459', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000917', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000917', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.009174', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001835', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.024312', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.010092', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.206422', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.217431', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.063303', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.147706', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.175688', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.029358', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.036239', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.042661', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.033486', 'age': '65+', 'gender': 'female'}]",SEIU District 1199 New England,226129494122932,286821186961297,1001,5000,25000,29999,600,699
360,"[""CT isn't filling thousands of state public health jobs, which hurts the care we provide to Black and brown communities.""]",['Read our demands'],"The New England Health Care Employees Union, District 1199, SEIU",['CT Legislature: Fund Public Health'],['act.seiu.org'],"[{'percentage': '0.000624', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.084806', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.000624', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.002079', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.005404', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.010185', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.104344', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.137601', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.082727', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.076491', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.054666', 'age': '65+', 'gender': 'male'}, {'percentage': '0.131989', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.075452', 'age': '65+', 'gender': 'female'}, {'percentage': '0.094159', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.001247', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.137186', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.000416', 'age': '55-64', 'gender': 'unknown'}]",SEIU District 1199 New England,226129494122932,656547515429797,1001,5000,45000,49999,1000,1499
361,['Send a message to your legislator and help put a stop to a dangerous bill that could reduce access to breakthrough medicines for patients in Connecticut.'],['Protect Patients in CT'],Pfizer Inc.,['Act Now'],['fb.me'],"[{'percentage': '0.001185', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.062796', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.023697', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.022512', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.029621', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.14218', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.046209', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.248815', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.310427', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001185', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.077014', 'age': '65+', 'gender': 'male'}, {'percentage': '0.014218', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.003555', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.005924', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001185', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00237', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.007109', 'age': '65+', 'gender': 'unknown'}]",Pfizer,314499212242,351930760230224,1000001,,1000,1999,0,99
362,"['Tell your legislators to choose cleaner air, better health, and lower costs by setting new emissions standards for diesel trucks and buses!']","['Take 30 seconds to tell CT legislative leaders to pass House Bill 5039 for cleaner air, better health, lower costs & zero emissions from diesel trucks and buses!']",CONNECTICUT LEAGUE OF CONSERVATION VOTERS,['Take Action in 30 Seconds'],['action.ctlcv.org'],"[{'percentage': '3.7E-5', 'age': '13-17', 'gender': 'unknown'}, {'percentage': '0.308067', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.00011', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.002089', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.004142', 'age': '65+', 'gender': 'female'}, {'percentage': '0.00997', 'age': '65+', 'gender': 'male'}, {'percentage': '0.057838', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.135542', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.14947', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.274237', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.007917', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000147', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.024631', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.001613', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.007844', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.003189', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.011949', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.00022', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.00055', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.00011', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00033', 'age': '65+', 'gender': 'unknown'}]",CTLCV - Connecticut League of Conservation Voters,444600215436,718796282454572,1000001,,200000,249999,3000,3499
363,['By switching diesel trucks and buses to electric in Connecticut we can reduce vehicle emissions by more than 50%!'],"['Take 30 seconds to tell CT legislative leaders to pass House Bill 5039 for cleaner air, better health, lower costs & zero emissions from diesel trucks and buses!']",CONNECTICUT LEAGUE OF CONSERVATION VOTERS,['Take Action in 30 Seconds'],['action.ctlcv.org'],"[{'percentage': '0.001604', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.030754', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000394', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000363', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000666', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.010806', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.000605', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.000363', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.017103', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001181', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.014045', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000515', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.109154', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.021189', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.200993', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.170723', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.041773', 'age': '65+', 'gender': 'male'}, {'percentage': '0.291742', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.050369', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.035567', 'age': '35-44', 'gender': 'male'}, {'percentage': '9.1E-5', 'age': '13-17', 'gender': 'unknown'}]",CTLCV - Connecticut League of Conservation Voters,444600215436,1654523221547630,1000001,,200000,249999,3000,3499
364,['Blackouts? Pollution? Reliable on foreign energy sources? Click to tell your legislators you support 100% zero-carbon energy generation!'],"['Senate Bill 10 is critical to establishing a 100% zero-carbon mandate in law. CT can be energy independent, improve the environment and create thousands of new jobs. Click to send a message to your legislators, it’s quick and easy!']",CONNECTICUT LEAGUE OF CONSERVATION VOTERS,['Take Action in 60 seconds'],['action.ctlcv.org'],"[{'percentage': '0.00042', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.050766', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000315', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.01867', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.094819', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.152821', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.1309', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.385358', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.041431', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.00021', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.01395', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.002308', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.018041', 'age': '65+', 'gender': 'female'}, {'percentage': '0.017516', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001888', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.039018', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000734', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.030837', 'age': '55-64', 'gender': 'male'}]",CTLCV - Connecticut League of Conservation Voters,444600215436,673170380461490,500001,1000000,80000,89999,1500,1999
365,['Shortcut to energy independence? 100% zero-carbon energy generation. It’s 100% possible in Connecticut. You can make help it happen!'],"['Senate Bill 10 is critical to establishing a 100% zero-carbon mandate in law. CT can be energy independent, improve the environment and create thousands of new jobs. Click to send a message to your legislators, it’s quick and easy!']",CONNECTICUT LEAGUE OF CONSERVATION VOTERS,['Take Action in 60 seconds'],['action.ctlcv.org'],"[{'percentage': '0.000458', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.167984', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.019365', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.057637', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.023032', 'age': '65+', 'gender': 'female'}, {'percentage': '0.086742', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.122952', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.379626', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.017073', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.000688', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.038616', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.033803', 'age': '65+', 'gender': 'male'}, {'percentage': '0.021886', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.025438', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000344', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000573', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001031', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.00275', 'age': '25-34', 'gender': 'unknown'}]",CTLCV - Connecticut League of Conservation Voters,444600215436,297307392559729,500001,1000000,25000,29999,400,499
366,"['It\'s our honor to invite you to our fair housing month event! Join us on Monday, April 25th from 4pm to 6pm for ‘Show Me A Hero: A Virtual Viewing and Panel Discussion’ where we will be showing episode 5 of ‘Show Me A Hero’ followed by a panel discussion that seeks to explore answers to the question: ""How does NIMBY-ism and the negative perception of people in public housing contribute to barriers we are seeing in fair housing?"" We will be joined by Lisa Belkin, the author of ‘Show Me A Hero: A Tale of Murder, Suicide, Race, and Redemption’ the book that inspired the series! Get more details on the event and register with the link below! Keep your eye on our page for more details on our other panel participants! \nhttps://bit.ly/CFHC-Show-Me-A-Hero']",['An event in celebration of Fair Housing Month'],"CONNECTICUT FAIR HOUSING CENTER, INC.",['Show Me A Hero: A Virtual Viewing and Panel Discussion'],['events.zoom.us'],"[{'percentage': '0.003054', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.16799', 'age': '65+', 'gender': 'female'}, {'percentage': '0.026878', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.053757', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.215638', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.137447', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.027489', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.197923', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.037874', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.003665', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.046426', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.061698', 'age': '65+', 'gender': 'male'}, {'percentage': '0.002443', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001222', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.003665', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.004887', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.002443', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.005498', 'age': '18-24', 'gender': 'female'}]",Connecticut Fair Housing Center,169493453062632,1848684192189536,500001,1000000,2000,2999,0,99
367,"['Fun Fact: Natural gas powers more than 175,000 vehicles in the United States and roughly 23 million vehicles worldwide. That includes our fleet! We’re happy to help reduce our carbon footprint in each of the Connecticut neighborhoods we serve! 👍']",,,,,,"All Waste, Inc.",164401423601676,671063757342251,1000001,,0,999,0,99
368,"['We are THRILLED to cosponsor this conversation with Alliance For Early Success next week, on Thursday 4/14 at 3pm ET: Find out how communities in CT recently organized the groundbreaking #MorningWithoutChildCare, and what you can do in your own region! Moderated by Elliot Haspel, and featuring folks from CT Early Childhood Alliance, Hope Child Development Center, CT Association for the Education of Young Children and CSEA SEIU Local 2001: \n\nhttps://earlysuccess.org/morning-without-child-care/']",['The Alliance for Early Success and Early Learning Nation bring together some the Connecticut advocates behind the “Morning Without Child Care” recently organized by advocates in Connecticut. Hear how they organized the events in a short time span and their advice for advocates who want to plan a...'],Early Learning Nation,"['Webinar: Meet the Connecticut Advocates Behind the Headline-Grabbing ""Morning Without Child Care"" - Alliance for Early Success']",['earlysuccess.org'],"[{'percentage': '0.000839', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001398', 'age': '65+', 'gender': 'male'}, {'percentage': '0.001398', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.001677', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.157086', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.046492', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.352744', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.277183', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.12783', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.0191', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.002609', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001025', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.004659', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.003261', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.002702', 'age': '18-24', 'gender': 'unknown'}]",Early Learning Nation,524022074393548,654765705593185,1000001,,10000,14999,0,99
369,"[""Chien, a CT home care worker, risked his life to care for others throughout the pandemic. Because he has no health insurance, he can't get care himself.""]",['Read our demands'],"The New England Health Care Employees Union, District 1199, SEIU","['Governor, Home Care Workers Need Healthcare too']",[' '],"[{'percentage': '0.012761', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.04099', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.245553', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.175174', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.116783', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.075406', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.029389', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.12877', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.08198', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.050657', 'age': '65+', 'gender': 'female'}, {'percentage': '0.023975', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.001547', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000773', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.014308', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000387', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.001547', 'age': '35-44', 'gender': 'unknown'}]",SEIU District 1199 New England,226129494122932,315142187355765,10001,50000,4000,4999,0,99
370,"[""Chien, a CT home care worker, risked his life to care for others throughout the pandemic. Because he has no health insurance, he can't get care himself.""]",['Read our demands'],"The New England Health Care Employees Union, District 1199, SEIU","['Governor, Home Care Workers Need Healthcare too']",[' '],"[{'percentage': '0.000473', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000946', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001418', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.007565', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.04208', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.010402', 'age': '65+', 'gender': 'male'}, {'percentage': '0.03357', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.158392', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.163593', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.209456', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.208038', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.03026', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000946', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.037825', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.053901', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.041135', 'age': '65+', 'gender': 'female'}]",SEIU District 1199 New England,226129494122932,327659852600850,1001,5000,30000,34999,1000,1499
371,"[""Chien, a CT home care worker, risked his life to care for others throughout the pandemic. Because he has no health insurance, he can't get care himself.""]",['Read our demands'],"The New England Health Care Employees Union, District 1199, SEIU","['Governor, Home Care Workers Need Healthcare too']",[' '],"[{'percentage': '0.001797', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.091848', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.000898', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.003593', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000674', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.007411', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001572', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.073209', 'age': '65+', 'gender': 'male'}, {'percentage': '0.121716', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.081069', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.141478', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.092522', 'age': '65+', 'gender': 'female'}, {'percentage': '0.073883', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.129126', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.088255', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.090501', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000449', 'age': '55-64', 'gender': 'unknown'}]",SEIU District 1199 New England,226129494122932,1137501247095550,1001,5000,45000,49999,1500,1999
372,"[""If your every day powers include empathy and patience, join our team of United Heroes at United Way of Connecticut's Care 4 Kids program. Help children benefit from high-quality care across the state of Connecticut and change lives with us.\n\nNow hiring a Client Services Representative. Full-time role with hybrid schedules available; a great way to grow your career."", ""If your every day powers include empathy and patience, join our team of United Heroes at United Way of Connecticut's Care 4 Kids program. Help children benefit from high-quality care across the state of Connecticut and change lives with us.\n\nNow hiring a Client Services Representative. Full-time role with hybrid schedules available; a great way to grow your career.""]","['Full-time role with hybrid schedules available; a great way to grow your career. ', 'Full-time role with hybrid schedules available; a great way to grow your career. ']",,"['Be a United Hero', 'Be a United Hero']","[' ', ' ']",,United Way of Connecticut,535056219953867,1382030912302171,1000001,,0,999,0,99
373,"[""❗️ It's time to reshape healthcare and ensure people's right to quality end-of-life options. \nSB 88, authorizing medical aid in dying in CT, has been referred to the Judiciary Committee, which is deciding on Monday, April 11, if it will take up this bill. Take action today and become an advocate for expanded choices that put patients first and value the quality of life in treatment plans for terminal illness.\n\n📝 Reach out to your legislator ASAP to ensure that SB 88 has the support it needs to move forward!\n\nPAID FOR BY COMPASSION & CHOICES ACTION NETWORK""]",['We Can Expand Options In Connecticut'],COMPASSION & CHOICES,['Help Reshape Healthcare'],['compassionandchoices.org'],,Compassion & Choices,219224241438635,401724481793033,10001,50000,0,999,0,99
374,"[""❗️ It's time to reshape healthcare and ensure people's right to quality end-of-life options. \nSB 88, authorizing medical aid in dying in CT, has been referred to the Judiciary Committee, which is deciding on Monday, April 11, if it will take up this bill. Take action today and become an advocate for expanded choices that put patients first and value the quality of life in treatment plans for terminal illness.\n\n📝 Reach out to your legislator ASAP to ensure that SB 88 has the support it needs to move forward!\n\nPAID FOR BY COMPASSION & CHOICES ACTION NETWORK""]",['We Can Expand Options In Connecticut'],COMPASSION & CHOICES,['Help Reshape Healthcare'],['compassionandchoices.org'],,Compassion & Choices,219224241438635,504408414552356,100001,500000,0,999,0,99
375,"[""❗️ It's time to reshape healthcare and ensure people's right to quality end-of-life options. \nSB 88, authorizing medical aid in dying in CT, has been referred to the Judiciary Committee, which is deciding on Monday, April 11, if it will take up this bill. Take action today and become an advocate for expanded choices that put patients first and value the quality of life in treatment plans for terminal illness.\n\n📝 Reach out to your legislator ASAP to ensure that SB 88 has the support it needs to move forward!\n\nPAID FOR BY COMPASSION & CHOICES ACTION NETWORK""]",['We Can Expand Options In Connecticut'],COMPASSION & CHOICES,['Help Reshape Healthcare'],['compassionandchoices.org'],"[{'percentage': '0.056604', 'age': '65+', 'gender': 'female'}, {'percentage': '0.084906', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.04717', 'age': '65+', 'gender': 'male'}, {'percentage': '0.018868', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.037736', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.207547', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.028302', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.132075', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.056604', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.273585', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.037736', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.009434', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.009434', 'age': '18-24', 'gender': 'male'}]",Compassion & Choices,219224241438635,707846893964267,10001,50000,0,999,0,99
